PERMNO,date,TICKER,COMNAM,PRC,SHROUT,Market Cap
13375,12/31/2020,FRGI,FIESTA RESTAURANT GROUP INC,11.4,25921,295499.4
13376,12/31/2020,IMMP,IMMUTEP LTD,3.14,12348,38772.72
13377,12/31/2020,PFPT,PROOFPOINT INC,136.41,57628,7861035.48
13379,12/31/2020,SPLK,SPLUNK INC,169.89,161701,27471382.89
13380,12/31/2020,TCPC,BLACKROCK T C P CAPITAL CORP,11.24,57767,649301.08
13382,12/31/2020,ALFA,E T F SERIES SOLUTIONS,76.7545,375,28782.9375
13386,12/31/2020,HYEM,VANECK VECTORS E T F TRUST,23.9,18700,446930
13387,12/31/2020,GYLD,ARROW E T F TRUST,13.23,2850,37705.5
13393,12/31/2020,PDI,PIMCO DYNAMIC INCOME FUND,26.43,65570,1733015.1
13395,12/31/2020,SMM,SALIENT MIDSTREAM & M L P FUND,4.27,17722,75672.94
13399,12/31/2020,TLYS,TILLYS INC,8.16,22475,183396
13401,12/31/2020,WMC,WESTERN ASSET MORTGAGE CAP CORP,3.26,60813,198250.38
13403,12/31/2020,TGLS,TECNOGLASS INC,6.91,47675,329434.25
13405,12/31/2020,CG,CARLYLE GROUP L P,31.44,353270,11106808.8
13407,12/31/2020,FB,FACEBOOK INC,273.16,2403969,656668172
13410,12/31/2020,SUPN,SUPERNUS PHARMACEUTICALS INC,25.16,52685,1325554.6
13411,12/31/2020,CRDF,CARDIFF ONCOLOGY INC,17.99,35325,635496.75
13412,12/31/2020,IDEX,IDEANOMICS INC,1.99,238971,475552.29
13428,12/31/2020,SDOG,ALPS E T F TRUST,44.64,22859,1020425.76
13429,12/31/2020,ALEX,ALEXANDER & BALDWIN INC NEW,17.18,72354,1243041.72
13431,12/31/2020,CTR,CLEARBRIDGE MLP & MID TOT RET FD,14.6,7680,112128
13436,12/31/2020,EMLP,FIRST TRUST E T F IV,20.97,81905,1717547.85
13437,12/31/2020,GURU,GLOBAL X FUNDS,43.81,1500,65715
13438,12/31/2020,GSV,GOLD STANDARD VENTURES CORP,0.7238,315164,228115.7032
13439,12/31/2020,HTA,HEALTHCARE TRUST OF AMERICA INC,27.54,218574,6019527.96
13441,12/31/2020,MMD,MAINSTAY MACKAY DEFTERM M OPP FD,21.78,27602,601171.56
13444,12/31/2020,EUFX,PROSHARES TRUST II,41.35,100,4135
13446,12/31/2020,CJNK,SPDR SERIES TRUST,26.485,6900,182746.5
13447,12/31/2020,NOW,SERVICENOW INC,550.42999,195100,107388891
13452,12/31/2020,TROX,TRONOX HOLDINGS PLC,14.62,143557,2098803.34
13453,12/31/2020,CEMI,CHEMBIO DIAGNOSTICS INC,4.75,20176,95836
13455,12/31/2020,SONN,SONNET BIOTHERAPEUTICS HLDGS INC,2.23,16590,36995.7
13501,12/31/2020,LDP,COHEN & STEERS LTD DUR PFD & INC,26.6,28868,767888.8
13503,12/31/2020,SPFF,GLOBAL X FUNDS,11.8,16750,197650
13505,12/31/2020,PFXF,VANECK VECTORS E T F TRUST,20.57,40150,825885.5
13507,12/31/2020,ANAT,AMERICAN NATIONAL GROUP INC,96.12,26887,2584378.44
13508,12/31/2020,NGVC,NATRL GROCERS BY VIT COTTAGE INC,13.74,22564,310029.36
13510,12/31/2020,JPI,NUVEEN PFD & INCOME TERM FUND,24.61,22757,560049.77
13511,12/31/2020,PANW,PALO ALTO NETWORKS INC,355.39001,98025,34837105.73
13512,12/31/2020,DWAS,INVESCO E T F TRUST II,75.2871,4880,367401.048
13513,12/31/2020,CROC,PROSHARES TRUST II,43.8937,50,2194.685
13519,12/31/2020,NDP,TORTOISE ENERGY INDPNDCE FD INC,13.28,1846,24514.88
13520,12/31/2020,CHUY,CHUYS HOLDINGS INC,26.49,19695,521720.55
13521,12/31/2020,CPAH,COUNTERPATH CORP,3.4,6440,21896
13527,12/31/2020,FIVE,FIVE BELOW INC,174.98,55867,9775607.66
13528,12/31/2020,FSBW,F S BANCORP INC,54.8,4241,232406.8
13532,12/31/2020,HBMD,HOWARD BANCORP INC,11.81,18742,221343.02
13534,12/31/2020,HTBI,HOMETRUST BANCSHARES INC,19.31,17021,328675.51
13537,12/31/2020,FRG,FRANCHISE GROUP INC,30.45,40088,1220679.6
13539,12/31/2020,BTT,BLACKROCK MUNI 2030 TARGET TM TR,25.68,70506,1810594.08
13542,12/31/2020,DWPP,FIRST TRUST EXCHANGE TRADED FUND,28.11,400,11244
13543,12/31/2020,GMED,GLOBUS MEDICAL INC,65.22,76242,4972503.24
13545,12/31/2020,SAND,SANDSTORM GOLD LTD,7.17,192361,1379228.37
13547,12/31/2020,MANU,MANCHESTER UNITED PLC,16.74,40622,680012.28
13548,12/31/2020,BLMN,BLOOMIN BRANDS INC,19.42,87575,1700706.5
13555,12/31/2020,MDIV,FIRST TRUST E T F VI,15.03,30400,456912
13559,12/31/2020,PFMT,PERFORMANT FINANCIAL CORP,0.881,54757,48240.917
13561,12/31/2020,SFBC,SOUND FINANCIAL BANCORP INC,31.75,2595,82391.25
13562,12/31/2020,TDIV,FIRST TRUST E T F VI,49.47,27605,1365619.35
13568,12/31/2020,VEGA,ADVISORSHARES TRUST,36.7951,350,12878.285
13570,12/31/2020,BGB,BLACKSTONE STRATEGIC CREDIT FUND,12.48,44664,557406.72
13571,12/31/2020,SZC,CUSHING NEXTGEN INFRA INCOME FD,36.43,2602,94790.86
13572,12/31/2020,TLTE,FLEXSHARES TRUST,58.16,4700,273352
13575,12/31/2020,TLTD,FLEXSHARES TRUST,66,8800,580800
13576,12/31/2020,BSMX,BANCO SANTANDER MEXICO S A,5.15,158113,814281.95
13577,12/31/2020,HY,HYSTER YALE MATERIALS HANDLG INC,59.55,12953,771351.15
13578,12/31/2020,FM,ISHARES INC,28.35,14550,412492.5
13579,12/31/2020,NBHC,NATIONAL BANK HOLDINGS CORP,32.76,30604,1002587.04
13583,12/31/2020,SMLP,SUMMIT MIDSTREAM PARTNERS LP,12.49,3802,47486.98
13584,12/31/2020,SUN,SUNOCO LP,28.78,83052,2390236.56
13586,12/31/2020,PNR,PENTAIR PLC,53.09,166346,8831309.14
13595,12/31/2020,CXSE,WISDOMTREE TRUST,65.77,10600,697162
13599,12/31/2020,LFVN,LIFEVANTAGE CORP,9.32,14264,132940.48
