Date,Open,High,Low,Close
3/25/2020,"1,413.46","1,483.85","1,388.98","1,429.25"
3/26/2020,"1,434.26","1,520.86","1,434.26","1,517.57"
3/27/2020,"1,505.52","1,507.68","1,453.51","1,466.36"
3/30/2020,"1,469.86","1,514.84","1,465.86","1,512.39"
3/31/2020,"1,509.59","1,520.31","1,480.05","1,489.57"
4/1/2020,"1,464.52","1,464.52","1,407.63","1,420.27"
4/2/2020,"1,419.70","1,455.68","1,411.26","1,449.52"
4/3/2020,"1,447.99","1,454.59","1,409.00","1,425.07"
4/6/2020,"1,460.37","1,533.87","1,460.37","1,527.21"
4/7/2020,"1,539.33","1,580.68","1,525.58","1,526.54"
4/8/2020,"1,532.56","1,586.77","1,530.06","1,581.13"
4/9/2020,"1,592.64","1,624.93","1,592.23","1,609.07"
4/13/2020,"1,602.91","1,602.91","1,567.46","1,590.32"
4/14/2020,"1,602.26","1,639.97","1,602.26","1,637.83"
4/15/2020,"1,630.02","1,630.02","1,587.52","1,599.48"
4/16/2020,"1,604.72","1,610.58","1,586.98","1,607.03"
4/17/2020,"1,614.50","1,655.72","1,614.50","1,653.16"
4/20/2020,"1,648.85","1,650.73","1,622.98","1,625.07"
4/21/2020,"1,611.65","1,611.65","1,569.38","1,575.50"
4/22/2020,"1,597.72","1,618.37","1,597.68","1,610.54"
4/23/2020,"1,613.36","1,637.96","1,609.73","1,611.47"
4/24/2020,"1,613.23","1,637.73","1,608.11","1,634.13"
4/27/2020,"1,640.25","1,668.72","1,640.25","1,663.35"
4/28/2020,"1,674.07","1,689.78","1,654.92","1,657.18"
4/29/2020,"1,662.67","1,713.92","1,662.67","1,705.32"
4/30/2020,"1,703.80","1,703.80","1,675.72","1,684.96"
5/1/2020,"1,654.74","1,656.78","1,629.27","1,635.59"
5/4/2020,"1,633.77","1,643.58","1,615.86","1,643.20"
5/5/2020,"1,647.56","1,676.94","1,647.56","1,658.61"
5/6/2020,"1,663.54","1,671.81","1,647.85","1,647.92"
5/7/2020,"1,652.06","1,680.74","1,652.06","1,669.09"
5/8/2020,"1,674.37","1,701.16","1,674.37","1,700.52"
5/11/2020,"1,693.32","1,708.88","1,684.44","1,700.04"
5/12/2020,"1,701.72","1,708.74","1,662.55","1,662.81"
5/13/2020,"1,662.66","1,663.04","1,614.96","1,630.37"
5/14/2020,"1,628.54","1,648.73","1,596.09","1,648.61"
5/15/2020,"1,646.97","1,657.51","1,628.72","1,656.81"
5/18/2020,"1,685.29","1,720.86","1,685.29","1,713.07"
5/19/2020,"1,711.79","1,720.22","1,694.59","1,694.89"
5/20/2020,"1,705.56","1,730.07","1,705.56","1,724.97"
5/21/2020,"1,723.40","1,729.08","1,706.16","1,713.73"
