name_long,name,name_committee,party,education,assumed_office,born
Claudia Tenney,Claudia Tenney,Claudia Tenney,Republican,Colgate University; BA; University of Cincinnati; JD,2021,1961-02-04
Tom Emmer,Tom Emmer,Tom Emmer,Republican,Boston College; University of Alaska Fairbanks; BA; William Mitchell College of Law; JD,2015,1961-03-03
Juan Vargas,Juan Vargas,Juan Vargas,Democratic,University of San Diego; BA; Fordham University; MA; Harvard University; JD,2013,1961-03-07
Matt Cartwright,Matt Cartwright,Matt Cartwright,Democratic,"Hamilton College, New York; BA; University of Pennsylvania; JD",2013,1961-05-01
John Moolenaar,John Moolenaar,John Moolenaar,Republican,Hope College; BS; Harvard University; MPA,2015,1961-05-08
David Cicilline,David Cicilline,David Cicilline,Democratic,Brown University; BA; Georgetown University; JD,2011,1961-07-15
Bradley S. Schneider,Brad Schneider,Brad Schneider,Democratic,Northwestern University; BS; MBA,2017,1961-08-20
Clay Higgins,Clay Higgins,Clay Higgins,Republican,Louisiana State University,2017,1961-08-24
Mario Díaz-Balart,Mario Díaz-Balart,Mario Díaz-Balart,Republican,University of South Florida; BA,2003,1961-09-25
Donald McEachin,Donald McEachin,Donald McEachin,Democratic,American University; BA; University of Virginia; JD; Virginia Union University; MDiv,2017,1961-10-10
Cheri Bustos,Cheri Bustos,Cheri Bustos,Democratic,"University of Maryland, College Park; BA; University of Illinois, Springfield; MA",2013,1961-10-17
Maria Elvira Salazar,Maria Elvira Salazar,Maria Elvira Salazar,Republican,Miami Dade College; University of Miami; BA; Harvard University; MPA,2021,1961-11-01
Anthony G. Brown,Anthony G. Brown,Anthony G. Brown,Democratic,Harvard University; BA; JD,2017,1961-11-21
Kevin Hern,Kevin Hern,Kevin Hern,Republican,"Arkansas Tech University; BS; Georgia Institute of Technology; University of Arkansas, Little Rock; MBA",2018,1961-12-04
Michael McCaul,Michael McCaul,Michael McCaul,Republican,"Trinity University; BA; St. Mary's University, Texas; JD",2005,1962-01-14
Troy Balderson,Troy Balderson,Troy Balderson,Republican,Muskingum University; Ohio State University,2018,1962-01-16
Lisa Blunt Rochester,Lisa Blunt Rochester,Lisa Blunt Rochester,Democratic,Fairleigh Dickinson University; BA; University of Delaware; MA,2017,1962-02-10
Suzan K. DelBene,Suzan DelBene,Suzan DelBene,Democratic,Reed College; BS; University of Washington; MBA,2012,1962-02-17
David Schweikert,David Schweikert,David Schweikert,Republican,"Arizona State University, Tempe; BS; MBA",2011,1962-03-03
Russ Fulcher,Russ Fulcher,Russ Fulcher,Republican,Boise State University; BA; MBA,2019,1962-03-09
John Sarbanes,John Sarbanes,John Sarbanes,Democratic,Princeton University; BA; Harvard University; JD,2007,1962-05-22
Scott Perry,Scott Perry,Scott Perry,Republican,Pennsylvania State University; BS; United States Army War College; MS,2013,1962-05-27
Larry Bucshon,Larry Bucshon,Larry Bucshon,Republican,University of Illinois at Urbana–Champaign; BS; University of Illinois at Chicago; MD,2011,1962-05-31
James Hagedorn,Jim Hagedorn,Jim Hagedorn,Republican,George Mason University; BA,2019,1962-08-04
Thomas Suozzi,Thomas Suozzi,Tom Suozzi,Democratic,Boston College; BA; Fordham University; JD,2017,1962-08-31
Ann Wagner,Ann Wagner,Ann Wagner,Republican,University of Missouri; BS,2013,1962-09-13
Marilyn Strickland,Marilyn Strickland,Marilyn Strickland,Democratic,University of Washington; BA; Clark Atlanta University; MBA,2021,1962-09-25
"Charles J. ""Chuck"" Fleischmann",Chuck Fleischmann,Chuck Fleischmann,Republican,University of Illinois at Urbana–Champaign; BA; University of Tennessee; JD,2011,1962-10-11
Young Kim,Young Kim,Young Kim,Republican,University of Southern California; BBA,2021,1962-10-18
John Katko,John Katko,John Katko,Republican,Niagara University; BA; Syracuse University; JD,2015,1962-11-09
Jamie Raskin,Jamie Raskin,Jamie Raskin,Democratic,Harvard University; BA; JD,2017,1962-12-13
Gus M. Bilirakis,Gus Bilirakis,Gus Bilirakis,Republican,St. Petersburg College; University of Florida; BA; Stetson University; JD,2007,1963-02-08
Filemon Vela Jr.,Filemon Vela Jr.,Filemon Vela Jr.,Democratic,Georgetown University; BA; University of Texas at Austin; JD,2013,1963-02-13
Greg Murphy,Greg Murphy,Greg Murphy,Republican,Davidson College; BA; University of North Carolina at Chapel Hill; MD,2019,1963-03-05
Ron Kind,Ron Kind,Ron Kind,Democratic,Harvard University; BA; London School of Economics; MA; University of Minnesota; JD,1997,1963-03-16
Tony Cárdenas,Tony Cárdenas,Tony Cárdenas,Democratic,"University of California, Santa Barbara; BS",2013,1963-03-31
Deborah Ross,Deborah Ross,Deborah K. Ross,Democratic,Brown University; AB; University of North Carolina at Chapel Hill; JD,2021,1963-06-20
Katherine M. Clark,Katherine Clark,Katherine Clark,Democratic,St. Lawrence University; BA; Cornell University; JD; Harvard University; MPA,2013,1963-07-17
Don Bacon,Don Bacon,Don Bacon,Republican,Northern Illinois University; BA; University of Phoenix; MBA; National Defense University; MA,2017,1963-08-16
Jackie Walorski,Jackie Walorski,Jackie Walorski,Republican,Liberty University; Taylor University; BA,2013,1963-08-17
Troy Carter,Troy Carter,Troy Carter,Democratic,Xavier University of Louisiana; BA,2021,1963-10-26
Sam Graves,Sam Graves,Sam Graves,Republican,University of Missouri; BS,2001,1963-11-07
Scott Fitzgerald,Scott Fitzgerald,Scott L. Fitzgerald,Republican,University of Wisconsin–Oshkosh; BS,2021,1963-11-16
Andrew Clyde,Andrew Clyde,Andrew Clyde,Republican,University of Notre Dame; BA; Bethel University; BBA; University of Georgia; MBA,2021,1963-11-22
Barry Loudermilk,Barry Loudermilk,Barry Loudermilk,Republican,Air University; Wayland Baptist University; BS,2015,1963-12-22
Lloyd K. Smucker,Lloyd Smucker,Lloyd Smucker,Republican,Lebanon Valley College; Franklin and Marshall College,2017,1964-01-23
Dan Meuser,Dan Meuser,Dan Meuser,Republican,State University of New York Maritime College; Cornell University; BA,2019,1964-02-10
Jim Jordan,Jim Jordan,Jim Jordan,Republican,University of Wisconsin–Madison; BS; Ohio State University; MA; Capital University; JD,2007,1964-02-17
Jared Huffman,Jared Huffman,Jared Huffman,Democratic,"University of California, Santa Barbara; BA; Boston College; JD",2013,1964-02-18
Brett Guthrie,Brett Guthrie,Brett Guthrie,Republican,United States Military Academy; BS; Yale University; MBA,2009,1964-02-18
Scott DesJarlais,Scott DesJarlais,Scott DesJarlais,Republican,University of South Dakota; BS; MD,2011,1964-02-21
Yvette Herrell,Yvette Herrell,Yvette Herrell,Republican,ITT Technical Institute; GrCert,2021,1964-03-16
