transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,return_1d,return_5d,return_1m,return_index_1d,return_index_5d,return_index_1m,return_abnormal_1d,return_abnormal_5d,return_abnormal_1m,Senator,Party,Born,Occupation(s),Assumed office,Age,In_Office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
2020-01-27,Self,"PayPal Holdings, Inc.",Sale (Full),"$15,001 - $50,000",James M Inhofe,PYPL,,Sale,2,-0.011107254425546609,-0.011020479000347194,0.06421381464769171,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,-0.0010841971825190644,-0.008909530494856543,-0.01680765280369323,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-27,Joint,"WPX Energy, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",WPX,,Purchase,1,0.02493765586034913,-0.013300083125519557,-0.2385702410640066,0.010023057243027544,0.0021109485054906507,-0.08102146745138494,0.014914598617321584,-0.015411031631010208,-0.15754877361262165,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-27,Joint,Graphic Packaging Holding Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",GPK,,Sale,1,0.03227771010962244,0.03958587088915966,0.17600487210718652,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,0.04230076735264998,0.04169681939465031,0.09498340465580157,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-27,Self,Danaher Corporation,Sale (Full),"$50,001 - $100,000",James M Inhofe,DHR,,Sale,3,-0.015880831265508766,0.001240694789081842,0.0877791563275433,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,-0.005857774022481221,0.0033516432945724928,0.006757688876158352,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-27,Self,Apple Inc.,Sale (Partial),"$15,001 - $50,000",James M Inhofe,AAPL,,Sale,2,-0.028289333928165128,0.0009386955514258943,0.11467881163039939,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,-0.018266276685137584,0.003049644056916545,0.03365734417901445,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-28,Spouse,"Resideo Technologies, Inc.",Sale (Partial),"$15,001 - $50,000",Kelly Loeffler,REZI,,Sale,2,0.05803571428571419,0.09017857142857144,0.0401785714285714,0.0011101497920423808,-0.007515661972418153,0.09816747104750201,0.05692556449367181,0.0976942334009896,-0.05798889961893061,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-28,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,-0.02093235544083849,-0.003651389719537823,0.139538575340741,0.0011101497920423808,-0.007515661972418153,0.09816747104750201,-0.02204250523288087,0.0038642722528803297,0.04137110429323898,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-29,Spouse,"Ross Stores, Inc.",Sale (Partial),"$15,001 - $50,000",Kelly Loeffler,ROST,,Sale,2,0.0007876082961406627,-0.039117878708322396,0.020040255535135998,-0.0029845606382368217,-0.01885699675976893,0.0578232534841614,0.0037721689343774845,-0.020260881948553466,-0.0377829979490254,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-29,Joint,Axalta Coating Systems Ltd.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",AXTA,,Sale,2,-0.016008537886873064,-0.06261117040199227,0.10245464247598712,-0.0029845606382368217,-0.01885699675976893,0.0578232534841614,-0.013023977248636243,-0.04375417364222334,0.04463138899182573,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-29,Self,BlackRock Health Sciences Trust II,Purchase,"$100,001 - $250,000",John Hoeven,BMEZ,,Purchase,4,0.01646706586826352,0.032435129740518986,-0.001996007984031878,0.0029845606382368217,0.01885699675976893,-0.0578232534841614,0.013482505230026698,0.013578132980750057,0.05582724550012952,John Hoeven,Republican,1957-03-13,Banker,2011-01-03,63,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2020-01-29,Spouse,Comcast Corporation,Sale (Partial),"$15,001 - $50,000",Kelly Loeffler,CMCSA,,Sale,2,-0.018928901200369275,-0.029316712834718484,0.0184672206832871,-0.0029845606382368217,-0.01885699675976893,0.0578232534841614,-0.015944340562132453,-0.010459716074949554,-0.0393560328008743,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-29,Joint,Corning Incorporated,Purchase,"$1,001 - $15,000","David A Perdue , Jr",GLW,,Purchase,1,-0.023280423280423235,-0.002116402116402183,-0.1298059964726631,0.0029845606382368217,0.01885699675976893,-0.0578232534841614,-0.026264983918660056,-0.020973398876171112,-0.07198274298850171,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-29,Spouse,"Keysight Technologies, Inc.",Sale (Full),"$100,001 - $250,000",Kelly Loeffler,KEYS,,Sale,4,0.0038678653564707677,0.002717959439682116,-0.018398494668617982,-0.0029845606382368217,-0.01885699675976893,0.0578232534841614,0.006852425994707589,0.021574956199451045,-0.07622174815277938,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-30,Joint,Bank of America Corporation,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",BAC,,Sale,2,0.019414575866188777,-0.0355436081242535,0.17114695340501784,0.017802054883599983,-0.018478345688646147,0.08598777474313957,0.0016125209825887943,-0.017065262435607353,0.08515917866187828,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-30,Joint,Bank of America Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",BAC,,Sale,1,0.019414575866188777,-0.0355436081242535,0.17114695340501784,0.017802054883599983,-0.018478345688646147,0.08598777474313957,0.0016125209825887943,-0.017065262435607353,0.08515917866187828,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-30,Spouse,"AutoZone, Inc.",Sale (Partial),"$15,001 - $50,000",Kelly Loeffler,AZO,,Sale,2,0.026339524980747986,0.02233604602831074,0.056940126155096915,0.017802054883599983,-0.018478345688646147,0.08598777474313957,0.008537470097148003,0.04081439171695689,-0.02904764858804265,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
